id,season,league_name,canonical_team_name,canonical_player_name,api_player_id,api_player_name,api_team_id,api_team_name,minutes,goals,assists,shots,key_passes,category
10825,2025,Premier League,chelsea,l colwill,152953,L. Colwill,49,Chelsea,478,0,1,1,2,medium_priority_review
10771,2025,Premier League,chelsea,c nkunku,269,C. Nkunku,49,Chelsea,291,1,0,6,5,likely_not_in_understat
10769,2025,Premier League,manchester city,m akanji,5,M. Akanji,50,Manchester City,247,0,0,3,2,likely_not_in_understat
10901,2025,Premier League,manchester city,vitor nunes,414359,Vitor Nunes,50,Manchester City,213,0,0,1,1,likely_not_in_understat
10819,2025,Premier League,chelsea,n madueke,136723,N. Madueke,49,Chelsea,198,0,0,7,6,likely_not_in_understat
10862,2025,Premier League,sunderland,harrison jones,330640,Harrison Jones,746,Sunderland,107,0,0,1,1,likely_not_in_understat
10799,2025,Premier League,sunderland,a patterson,19881,A. Patterson,746,Sunderland,107,0,0,0,0,likely_not_in_understat
10841,2025,Premier League,chelsea,n jackson,283058,N. Jackson,49,Chelsea,98,0,1,4,3,likely_not_in_understat
10773,2025,Premier League,manchester united,a onana,526,A. Onana,33,Manchester United,96,0,0,0,0,likely_not_in_understat
10789,2025,Premier League,everton,m travers,18860,M. Travers,45,Everton,95,0,0,0,0,likely_not_in_understat
10792,2025,Premier League,brighton hove albion,j steele,18960,J. Steele,51,Brighton,95,0,0,0,0,likely_not_in_understat
10785,2025,Premier League,brighton hove albion,igor,7600,Igor,51,Brighton,95,0,0,0,0,likely_not_in_understat
10840,2025,Premier League,burnley,a ramsey,278079,A. Ramsey,44,Burnley,90,1,0,2,0,likely_not_in_understat
10812,2025,Premier League,bournemouth,j araujo,51051,J. Araujo,35,Bournemouth,90,0,0,0,0,likely_not_in_understat
10801,2025,Premier League,fulham,b lecomte,21566,B. Lecomte,36,Fulham,90,0,0,0,0,likely_not_in_understat
10860,2025,Premier League,burnley,m wei,328273,M. Weiß,44,Burnley,90,0,0,0,0,likely_not_in_understat
10782,2025,Premier League,west ham united,edson alvarez,2869,Edson Álvarez,48,West Ham,90,0,0,0,0,likely_not_in_understat
10881,2025,Premier League,sunderland,jenson jones,381014,Jenson Jones,746,Sunderland,62,0,0,2,0,likely_not_in_understat
10833,2025,Premier League,sunderland,n huggins,169282,N. Huggins,746,Sunderland,45,0,0,0,0,likely_not_in_understat
10868,2025,Premier League,liverpool,b doak,343576,B. Doak,40,Liverpool,45,0,0,0,0,likely_not_in_understat
10890,2025,Premier League,brentford,kaye furo,393193,Kaye Furo,55,Brentford,43,0,0,0,1,likely_not_in_understat
10906,2025,Premier League,sunderland,m aleksia,428076,M. AleksiÄ,746,Sunderland,29,0,1,0,1,likely_not_in_understat
10857,2025,Premier League,brighton hove albion,c tasker,328076,C. Tasker,51,Brighton,17,0,0,0,0,likely_not_in_understat
10820,2025,Premier League,leeds,largie ramazani,138776,Largie Ramazani,63,Leeds,11,0,1,0,1,likely_not_in_understat
10909,2025,Premier League,everton,adam aznou,431921,Adam Aznou,45,Everton,8,0,0,0,0,likely_not_in_understat
10831,2025,Premier League,everton,t onyango,167657,T. Onyango,45,Everton,1,0,0,0,0,likely_not_in_understat
10822,2025,Premier League,everton,harry tyrer,138844,Harry Tyrer,45,Everton,0,0,0,0,0,likely_not_in_understat
10885,2025,Premier League,tottenham hotspur,l vuskovic,387521,L. Vušković,47,Tottenham,0,0,0,0,0,likely_not_in_understat
10916,2025,Premier League,arsenal,a annous,457731,A. Annous,42,Arsenal,0,0,0,0,0,likely_not_in_understat
10816,2025,Premier League,bournemouth,r faivre,84082,R. Faivre,35,Bournemouth,0,0,0,0,0,likely_not_in_understat
